batch value control marker flagged_batch batch_effect cols type
PTLG026 1.309149980545044 IFNa_LPS_Control_2 CD11b none 0 #AEAEAE EMD
PTLG026 1.2491000890731812 Unstim_Control_1 CD11b none 0 #AEAEAE EMD
PTLG026 1.3234001398086548 Unstim_Control_2 CD11b none 0 #AEAEAE EMD
PTLG027 1.4953501224517822 IFNa_LPS_Control_1 CD11b none 0 #AEAEAE EMD
PTLG027 1.7216500043869019 IFNa_LPS_Control_2 CD11b none 0 #AEAEAE EMD
PTLG027 2.016400098800659 Unstim_Control_1 CD11b none 0 #AEAEAE EMD
PTLG027 2.0378501415252686 Unstim_Control_2 CD11b none 0 #AEAEAE EMD
PTLG028 0.9267498254776001 IFNa_LPS_Control_1 CD11b none 0 #AEAEAE EMD
PTLG028 1.288849949836731 IFNa_LPS_Control_2 CD11b none 0 #AEAEAE EMD
PTLG028 1.7384999990463257 Unstim_Control_1 CD11b none 0 #AEAEAE EMD
PTLG028 1.4110000133514404 Unstim_Control_2 CD11b none 0 #AEAEAE EMD
PTLG030 0.8796499967575073 IFNa_LPS_Control_1 CD11b none 0 #AEAEAE EMD
PTLG030 1.309149980545044 IFNa_LPS_Control_2 CD11b none 0 #AEAEAE EMD
PTLG030 2.366450071334839 Unstim_Control_1 CD11b none 0 #AEAEAE EMD
PTLG030 1.6541000604629517 Unstim_Control_2 CD11b none 0 #AEAEAE EMD
PTLG031 2.9096498489379883 IFNa_LPS_Control_1 CD11b none 0 #AEAEAE EMD
PTLG031 3.1220502853393555 IFNa_LPS_Control_2 CD11b PTLG031 1 #8E000C EMD
PTLG031 2.382200002670288 Unstim_Control_1 CD11b none 0 #AEAEAE EMD
PTLG031 2.421800136566162 Unstim_Control_2 CD11b none 0 #AEAEAE EMD
PTLG032 2.620300054550171 IFNa_LPS_Control_1 CD11b none 0 #AEAEAE EMD
PTLG032 1.9217501878738403 IFNa_LPS_Control_2 CD11b none 0 #AEAEAE EMD
PTLG032 2.1727499961853027 Unstim_Control_1 CD11b none 0 #AEAEAE EMD
PTLG032 2.088900089263916 Unstim_Control_2 CD11b none 0 #AEAEAE EMD
PTLG033 1.333050012588501 IFNa_LPS_Control_1 CD11b none 0 #AEAEAE EMD
PTLG033 1.472350001335144 IFNa_LPS_Control_2 CD11b none 0 #AEAEAE EMD
PTLG033 3.4664499759674072 Unstim_Control_1 CD11b PTLG033 1 #8E000C EMD
PTLG033 1.6157499551773071 Unstim_Control_2 CD11b none 0 #AEAEAE EMD
PTLG034 2.2556498050689697 IFNa_LPS_Control_1 CD11b none 0 #AEAEAE EMD
PTLG034 2.633700132369995 IFNa_LPS_Control_2 CD11b none 0 #AEAEAE EMD
PTLG034 3.2336997985839844 Unstim_Control_1 CD11b PTLG034 1 #8E000C EMD
PTLG034 2.273749828338623 Unstim_Control_2 CD11b none 0 #AEAEAE EMD
PTLG021 0.46435004472732544 IFNa_LPS_Control_1 CD4 none 0 #AEAEAE EMD
PTLG021 0.516349732875824 IFNa_LPS_Control_2 CD4 none 0 #AEAEAE EMD
PTLG021 0.49784979224205017 Unstim_Control_1 CD4 none 0 #AEAEAE EMD
PTLG021 0.44894999265670776 Unstim_Control_2 CD4 none 0 #AEAEAE EMD
PTLG025 0.37849995493888855 IFNa_LPS_Control_1 CD4 none 0 #AEAEAE EMD
PTLG025 0.4916001856327057 IFNa_LPS_Control_2 CD4 none 0 #AEAEAE EMD
PTLG025 0.4280999004840851 Unstim_Control_1 CD4 none 0 #AEAEAE EMD
PTLG025 0.40255001187324524 Unstim_Control_2 CD4 none 0 #AEAEAE EMD
PTLG026 0.3774501383304596 IFNa_LPS_Control_1 CD4 none 0 #AEAEAE EMD
PTLG026 0.4851001501083374 IFNa_LPS_Control_2 CD4 none 0 #AEAEAE EMD
PTLG026 0.40390002727508545 Unstim_Control_1 CD4 none 0 #AEAEAE EMD
PTLG026 0.367249995470047 Unstim_Control_2 CD4 none 0 #AEAEAE EMD
PTLG027 0.5350499749183655 IFNa_LPS_Control_1 CD4 none 0 #AEAEAE EMD
PTLG027 0.8823502659797668 IFNa_LPS_Control_2 CD4 none 0 #AEAEAE EMD
PTLG027 0.6569001078605652 Unstim_Control_1 CD4 none 0 #AEAEAE EMD
PTLG027 0.6638997793197632 Unstim_Control_2 CD4 none 0 #AEAEAE EMD
PTLG028 0.3702498972415924 IFNa_LPS_Control_1 CD4 none 0 #AEAEAE EMD
PTLG028 0.5029500722885132 IFNa_LPS_Control_2 CD4 none 0 #AEAEAE EMD
PTLG028 0.40209999680519104 Unstim_Control_1 CD4 none 0 #AEAEAE EMD
PTLG028 0.3174000680446625 Unstim_Control_2 CD4 none 0 #AEAEAE EMD
PTLG030 0.3774501383304596 IFNa_LPS_Control_1 CD4 none 0 #AEAEAE EMD
PTLG030 0.38644975423812866 IFNa_LPS_Control_2 CD4 none 0 #AEAEAE EMD
PTLG030 0.4280999004840851 Unstim_Control_1 CD4 none 0 #AEAEAE EMD
PTLG030 0.3242000341415405 Unstim_Control_2 CD4 none 0 #AEAEAE EMD
PTLG031 0.39584991335868835 IFNa_LPS_Control_1 CD4 none 0 #AEAEAE EMD
PTLG031 0.536799967288971 IFNa_LPS_Control_2 CD4 none 0 #AEAEAE EMD
PTLG031 0.4883500337600708 Unstim_Control_1 CD4 none 0 #AEAEAE EMD
PTLG031 0.4430997669696808 Unstim_Control_2 CD4 none 0 #AEAEAE EMD
PTLG032 0.7257499098777771 IFNa_LPS_Control_1 CD4 none 0 #AEAEAE EMD
PTLG032 1.9054999351501465 IFNa_LPS_Control_2 CD4 none 0 #AEAEAE EMD
PTLG032 0.7792999744415283 Unstim_Control_1 CD4 none 0 #AEAEAE EMD
PTLG032 0.956899881362915 Unstim_Control_2 CD4 none 0 #AEAEAE EMD
PTLG033 0.5974002480506897 IFNa_LPS_Control_1 CD4 none 0 #AEAEAE EMD
PTLG033 0.9673502445220947 IFNa_LPS_Control_2 CD4 none 0 #AEAEAE EMD
PTLG033 1.0175495147705078 Unstim_Control_1 CD4 none 0 #AEAEAE EMD
PTLG033 0.7235000133514404 Unstim_Control_2 CD4 none 0 #AEAEAE EMD
PTLG034 0.5373501777648926 IFNa_LPS_Control_1 CD4 none 0 #AEAEAE EMD
PTLG034 0.8887004852294922 IFNa_LPS_Control_2 CD4 none 0 #AEAEAE EMD
PTLG034 0.6583999991416931 Unstim_Control_1 CD4 none 0 #AEAEAE EMD
PTLG034 0.41279998421669006 Unstim_Control_2 CD4 none 0 #AEAEAE EMD
PTLG021 0.4076499938964844 IFNa_LPS_Control_1 CD8a none 0 #AEAEAE EMD
PTLG021 0.4428999423980713 IFNa_LPS_Control_2 CD8a none 0 #AEAEAE EMD
PTLG021 0.4324989318847656 Unstim_Control_1 CD8a none 0 #AEAEAE EMD
PTLG021 0.37320005893707275 Unstim_Control_2 CD8a none 0 #AEAEAE EMD
PTLG025 0.28845006227493286 IFNa_LPS_Control_1 CD8a none 0 #AEAEAE EMD
PTLG025 0.5168998837471008 IFNa_LPS_Control_2 CD8a none 0 #AEAEAE EMD
PTLG025 0.38089990615844727 Unstim_Control_1 CD8a none 0 #AEAEAE EMD
PTLG025 0.31940004229545593 Unstim_Control_2 CD8a none 0 #AEAEAE EMD
PTLG026 0.4846499562263489 IFNa_LPS_Control_1 CD8a none 0 #AEAEAE EMD
PTLG026 0.8045998215675354 IFNa_LPS_Control_2 CD8a none 0 #AEAEAE EMD
PTLG026 0.6396499276161194 Unstim_Control_1 CD8a none 0 #AEAEAE EMD
PTLG026 0.8715999722480774 Unstim_Control_2 CD8a none 0 #AEAEAE EMD
PTLG027 0.36435016989707947 IFNa_LPS_Control_1 CD8a none 0 #AEAEAE EMD
PTLG027 0.6407502889633179 IFNa_LPS_Control_2 CD8a none 0 #AEAEAE EMD
